                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4736,                  1.724,                 1.2827,                0.65328,                 0.5872,                0.59828,                0.22312,                 1.8632,                   2.01,                 1.5456,             0.00066535,             0.00066535,             0.00066535
                      2,                 1.5446,                 1.4912,                 1.3494,                0.68174,                0.62982,                0.66482,                0.25368,                 1.8119,                 1.8576,                 1.5072,              0.0012661,              0.0012661,              0.0012661
                      3,                 1.5201,                 1.4515,                 1.3486,                0.73868,                0.66511,                 0.6727,                 0.2808,                 1.8513,                 1.9845,                  1.573,              0.0018008,              0.0018008,              0.0018008
                      4,                 1.5049,                 1.4212,                 1.3323,                0.75514,                0.66561,                0.70382,                0.28219,                 1.7643,                 1.5579,                 1.4667,               0.001703,               0.001703,               0.001703
                      5,                 1.4593,                 1.3479,                  1.305,                0.77319,                0.68155,                0.74241,                0.35307,                 1.6891,                 1.4002,                 1.4003,               0.001604,               0.001604,               0.001604
                      6,                 1.4152,                 1.2913,                 1.2808,                0.79192,                0.70079,                0.76044,                 0.3368,                 1.6665,                  1.391,                 1.3895,               0.001505,               0.001505,               0.001505
                      7,                 1.3894,                 1.2544,                 1.2674,                0.81351,                0.70507,                0.77912,                0.35067,                 1.7329,                 1.3824,                 1.4347,               0.001406,               0.001406,               0.001406
                      8,                 1.3604,                  1.228,                 1.2579,                0.81788,                0.73745,                0.79252,                0.38222,                 1.5778,                 1.3396,                 1.3225,               0.001307,               0.001307,               0.001307
                      9,                 1.3337,                 1.1966,                 1.2446,                0.82411,                0.74289,                0.80215,                0.39801,                 1.5962,                 1.3027,                 1.3455,               0.001208,               0.001208,               0.001208
                     10,                 1.3188,                 1.1802,                  1.236,                  0.824,                0.75022,                0.80601,                0.42327,                 1.4246,                 1.1671,                 1.2564,               0.001109,               0.001109,               0.001109
                     11,                 1.3398,                 1.0359,                  1.204,                0.83219,                0.75452,                0.81902,                0.43389,                 1.4611,                 1.1678,                 1.2669,                0.00101,                0.00101,                0.00101
                     12,                 1.3036,                0.98927,                 1.1901,                0.81515,                0.75098,                0.81213,                0.45478,                 1.3897,                 1.1405,                 1.2488,               0.000911,               0.000911,               0.000911
                     13,                 1.2864,                0.95396,                 1.1736,                0.83732,                0.75692,                 0.8256,                0.45175,                 1.4119,                 1.1134,                 1.2385,               0.000812,               0.000812,               0.000812
                     14,                 1.2696,                0.93478,                 1.1637,                0.84623,                0.76262,                0.82927,                 0.4604,                 1.4045,                  1.081,                 1.2349,               0.000713,               0.000713,               0.000713
                     15,                 1.2374,                0.90434,                 1.1519,                0.84613,                0.77223,                0.83878,                0.46762,                 1.3597,                 1.0541,                 1.2144,               0.000614,               0.000614,               0.000614
                     16,                 1.2202,                0.88191,                 1.1385,                 0.8538,                0.77792,                0.84221,                0.48643,                 1.2804,                 1.0336,                  1.183,               0.000515,               0.000515,               0.000515
                     17,                 1.1902,                0.85715,                 1.1277,                0.84706,                0.77741,                0.83875,                0.49532,                 1.3044,                 1.0344,                 1.1934,               0.000416,               0.000416,               0.000416
                     18,                 1.1657,                0.83995,                 1.1199,                 0.8534,                0.78037,                0.84429,                0.49679,                 1.2828,                 1.0142,                 1.1791,               0.000317,               0.000317,               0.000317
                     19,                 1.1479,                0.81225,                 1.1022,                0.86491,                0.78382,                0.84967,                0.50009,                 1.2624,                0.98651,                 1.1635,               0.000218,               0.000218,               0.000218
                     20,                 1.1272,                0.79506,                 1.0972,                0.86011,                0.78791,                0.85111,                0.50546,                 1.2442,                0.97451,                 1.1595,               0.000119,               0.000119,               0.000119
